Donations,Donations
"Donated Amount","Donated Amount"
"Could not save the donations: %1","Could not save the donations: %1"
"Donations with id ""%1"" does not exist.","Donations with id ""%1"" does not exist."
"Could not delete the Donations: %1","Could not delete the Donations: %1"
"You need to choose a amount to donate","You need to choose a amount to donate"
"Please enter a donation amount","Please enter a donation amount"
"Donation amount lower then minimal amount","Donation amount lower then minimal amount"
"Donation amount higher then maximal amount","Donation amount higher then maximal amount"
"Support a charity with your donation","Support a charity with your donation"
"Charities that can use your support","Charities that can use your support"
"Pick one of our favorite charities and donate","Pick one of our favorite charities and donate"
"Click a Charity to support","Click a Charity to support"
"I want to donate","I want to donate"
"The selected amount will be added to your shopping cart.","The selected amount will be added to your shopping cart."
"I want to donate this amount","I want to donate this amount"
"Choose an amount to donate","Choose an amount to donate"
"Choose your own Amount %1 (minimum %2)","Choose your own Amount %1 (minimum %2)"
"Donation Product","Donation Product"
General,General
Enabled,Enabled
"Minimal Donation Amount","Minimal Donation Amount"
"Maximal Donation Amount","Maximal Donation Amount"
"Fixed Donation Amount","Fixed Donation Amount"
Layout,Layout
Sidebar,Sidebar
"Sidebar Product Limit","Sidebar Product Limit"
Homepage,Homepage
"Homepage Product Limit","Homepage Product Limit"
Cart,Cart
"Cart Product Limit","Cart Product Limit"
Checkout,Checkout
"Checkout Product Limit","Checkout Product Limit"
ID,ID
"Charity Name","Charity Name"
Sku,Sku
Amount,Amount
Order,Order
"Order Status","Order Status"
Invoiced,Invoiced
"Created At","Created At"
